iteration,click_time,start_time,end_time,bright_time,bright_time_2,xshm_start_time,xshm_end_time,yalmd_latency,vblanks
0,4946184064,4946196736,4946196885,4946200661,4946201075,4946196736,4946196885,0,4945185521;4945188416;4945192576;4945196679;4945200834;4945205078;4945209250;4945213409;4945217547;4945221669;4945225898;4945230031;4945234204;4945238335;4945242564;4945246710;4945250931;4945255004;4945259198;4945263368;4945267498;4945271671;4945275841;4945280063;4945284211;4945288396;4945292574;4945296680;4945300888;4945305078;4945309243;4945313404;4945317533;4945321685;4945325877;4945330081;4945334199;4945338371;4945342581;4945346716;4945350833;4945355054;4945359184;4945363348;4945367504;4945371668;4945375854;4945380145;4945384240;4945388403;4945392497;4945396676;4945400908;4945404993;4945409197;4945413370;4945417503;4945421775;4945425880;4945430030;4945434255;4945438337;4945442525;4945446691;4945450863;4945455067;4945459242;4945463339;4945467514;4945471677;4945475838;4945480051;4945484256;4945488378;4945492499;4945496683;4945500895;4945505093;4945509172;4945513384;4945517541;4945521752;4945525932;4945530040;4945534230;4945538340;4945542518;4945546704;4945550860;4945555004;4945559187;4945563429;4945567498;4945571731;4945575919;4945580041;4945584260;4945588348;4945592514;4945596677;4945600888;4945605068;4945609251;4945613409;4945617503;4945621717;4945625916;4945630013;4945634241;4945638419;4945642590;4945646681;4945650884;4945655075;4945659156;4945663406;4945667517;4945671732;4945675915;4945680055;4945684258;4945688342;4945692626;4945696716;4945700887;4945705023;4945709178;4945713336;4945717521;4945721725;4945725921;4945730020;4945734228;4945738323;4945742548;4945746710;4945750977;4945755082;4945759198;4945763344;4945767555;4945771668;4945775885;4945780061;4945784258;4945788351;4945792572;4945796665;4945800903;4945805047;4945809227;4945813343;4945817527;4945821704;4945825851;4945830024;4945834246;4945838331;4945842556;4945846667;4945850894;4945855031;4945859184;4945863363;4945867528;4945871693;4945875883;4945880047;4945884156;4945888411;4945892515;4945896688;4945900888;4945905020;4945909176;4945913356;4945917565;4945921666;4945925850;4945930046;4945934231;4945938342;4945942500;4945946734;4945950917;4945954999;4945959203;4945963373;4945967499;4945971704;4945975911;4945980071;4945984255;4945988350;4945992598;4945996687;4946000914;4946005005;4946009186;4946013345;4946017514;4946021773;4946025819;4946030095;4946034235;4946038399;4946042519;4946046725;4946050905;4946055092;4946059242;4946063511;4946067529;4946071701;4946075920;4946080052;4946084234;4946088374;4946092621;4946096651;4946100915;4946105082;4946109211;4946113398;4946117527;4946121717;4946125863;4946130048;4946134233;4946138351;4946142606;4946146793;4946150866;4946155121;4946159163;4946163325;4946167589;4946171681;4946175925;4946180092;4946184153;4946188395;4946192583;4946196693;4946200907;
1,4947145867,4947147467,4947157574,4947163182,4947163471,4947157378,4947157574,16965,4946405023;4946409172;4946413324;4946417577;4946421715;4946425833;4946430055;4946434226;4946438382;4946442491;4946446699;4946450868;4946455037;4946459179;4946463348;4946467529;4946471725;4946475857;4946480046;4946484145;4946488363;4946492520;4946496713;4946500853;4946505033;4946509201;4946513342;4946517971;4946521702;4946525882;4946530038;4946534229;4946538368;4946542537;4946546669;4946550841;4946555112;4946559235;4946563367;4946567561;4946571706;4946575869;4946580171;4946584211;4946588453;4946592483;4946596678;4946600920;4946605057;4946609254;4946613410;4946617525;4946621765;4946625942;4946630085;4946634226;4946638405;4946642575;4946646723;4946650913;4946655084;4946659194;4946663411;4946667533;4946671719;4946675870;4946680096;4946684153;4946688349;4946692571;4946696740;4946700962;4946705094;4946709202;4946713398;4946717600;4946721752;4946725916;4946730078;4946734158;4946738347;4946742646;4946746762;4946750827;4946755079;4946759710;4946763427;4946767549;4946771884;4946775875;4946780105;4946784260;4946788308;4946792533;4946796751;4946800930;4946805056;4946809228;4946813397;4946817611;4946821651;4946825889;4946830004;4946834141;4946838354;4946842496;4946846735;4946850889;4946855002;4946859145;4946863364;4946867597;4946871687;4946875820;4946880085;4946884219;4946888402;4946892645;4946896785;4946900923;4946905038;4946909250;4946913504;4946917590;4946921689;4946925807;4946930094;4946934174;4946938433;4946942611;4946946724;4946950813;4946955004;4946959264;4946963382;4946967559;4946971707;4946975943;4946980046;4946984143;4946988435;4946992582;4946996713;4947000814;4947005091;4947009248;4947013351;4947017549;4947021667;4947025817;4947030017;4947034238;4947038405;4947042565;4947046702;4947050899;4947055075;4947059254;4947063383;4947067595;4947071715;4947075807;4947080100;4947084183;4947088343;4947092515;4947096678;4947100929;4947105079;4947109198;4947113398;4947117589;4947121782;4947125934;4947130055;4947134248;4947138416;4947142530;4947146750;4947150988;4947155074;4947159256;4947163346;
2,4948315418,4948316481,4948328204,4948333943,4948334362,4948326601,4948328204,17484,4947367483;4947371691;4947375803;4947380061;4947384184;4947388307;4947392559;4947396707;4947400892;4947404985;4947409218;4947413353;4947417512;4947421657;4947425875;4947430037;4947434154;4947438331;4947442477;4947446726;4947450866;4947455087;4947459176;4947463331;4947467553;4947471729;4947475891;4947480058;4947484184;4947488367;4947492478;4947496685;4947500898;4947505005;4947509180;4947513407;4947517532;4947521701;4947525850;4947530029;4947534161;4947538354;4947542528;4947546642;4947550872;4947555062;4947559218;4947563394;4947567565;4947571733;4947575806;4947579980;4947584145;4947588376;4947592490;4947596673;4947600800;4947604982;4947609232;4947613394;4947617541;4947621725;4947625869;4947630038;4947634231;4947638398;4947642538;4947646652;4947650802;4947655049;4947659217;4947663340;4947667558;4947671682;4947675852;4947680054;4947684166;4947688357;4947692494;4947696700;4947700797;4947704994;4947709206;4947713319;4947717538;4947721688;4947725845;4947730014;4947734235;4947738346;4947742522;4947746637;4947750796;4947755054;4947759199;4947763382;4947767559;4947771645;4947775796;4947780075;4947784181;4947788367;4947792476;4947796691;4947800867;4947805005;4947809187;4947813312;4947817525;4947821703;4947825862;4947829967;4947834225;4947838357;4947842565;4947846707;4947850858;4947854991;4947859158;4947863295;4947867513;4947871658;4947875809;4947880053;4947884164;4947888396;4947892485;4947896654;4947900799;4947904996;4947909199;4947913329;4947917500;4947921646;4947925815;4947930026;4947934210;4947938330;4947942568;4947946760;4947950916;4947955065;4947959255;4947963405;4947967567;4947971631;4947975889;4947980122;4947984244;4947988303;4947992579;4947996783;4948000914;4948005061;4948009286;4948013404;4948017467;4948021716;4948025871;4948029963;4948034744;4948038409;4948042459;4948046739;4948050795;4948055068;4948059241;4948063428;4948067582;4948071748;4948075965;4948080196;4948084252;4948088579;4948092733;4948096977;4948100911;4948105082;4948109238;4948113397;4948117574;4948121746;4948125886;4948129972;4948134245;4948138411;4948142580;4948146723;4948150904;4948155062;4948159245;4948163425;4948167576;4948171726;4948175923;4948180116;4948184220;4948188288;4948192542;4948196631;4948200902;4948205055;4948209245;4948213406;4948217555;4948221712;4948225888;4948230080;4948234134;4948238397;4948242471;4948246749;4948250919;4948255108;4948259371;4948263382;4948267653;4948271914;4948275809;4948280036;4948284176;4948288366;4948292470;4948296669;4948300786;4948305029;4948309144;4948313333;4948317457;4948321697;4948325841;4948330028;4948334136;
3,4949162739,4949164467,4949175598,4949179894,4949184286,4949174576,4949175598,18857,4948538296;4948542522;4948546657;4948550803;4948554958;4948559175;4948563312;4948567491;4948571646;4948575785;4948580057;4948584197;4948588380;4948592531;4948596713;4948600811;4948604985;4948609161;4948613322;4948617554;4948621666;4948625871;4948630052;4948634214;4948638346;4948642529;4948646675;4948650848;4948654954;4948659162;4948663353;4948667470;4948671645;4948675816;4948679953;4948684162;4948688347;4948692456;4948696661;4948700880;4948704966;4948709186;4948713303;4948717450;4948721692;4948725792;4948729971;4948734143;4948738345;4948742540;4948746647;4948750834;4948754955;4948759174;4948763337;4948767475;4948771706;4948775809;4948779969;4948784560;4948788325;4948792505;4948796714;4948800796;4948804977;4948809199;4948813335;4948817512;4948821638;4948825846;4948829970;4948834121;4948838313;4948842515;4948846648;4948850885;4948855009;4948859211;4948863337;4948867540;4948871615;4948875874;4948880040;4948884174;4948888356;4948892457;4948896702;4948900796;4948904971;4948909201;4948913330;4948917502;4948921656;4948925847;4948929965;4948934211;4948938293;4948942468;4948946618;4948950842;4948955042;4948959210;4948963342;4948967484;4948971674;4948975858;4948979972;4948984181;4948988305;4948992443;4948996640;4949000782;4949005516;4949009134;4949013314;4949017489;4949021701;4949025798;4949030000;4949034140;4949038290;4949042450;4949046682;4949050861;4949054999;4949059140;4949063280;4949067471;4949071642;4949075856;4949080047;4949084196;4949088311;4949092467;4949096683;4949100860;4949105021;4949109200;4949113277;4949117493;4949121702;4949125824;4949129970;4949134196;4949138300;4949142496;4949146635;4949150842;4949155009;4949159138;4949163306;4949167459;4949171696;4949176120;4949180031;4949184142;
4,4950385845,4950387421,4950400820,4950404694,4950409316,4950399513,4950400820,21457,4949388357;4949392517;4949396703;4949400800;4949404964;4949409136;4949413301;4949417473;4949421606;4949425872;4949430011;4949434124;4949438359;4949442455;4949446623;4949450860;4949454942;4949459167;4949463274;4949467474;4949471653;4949475800;4949479974;4949484145;4949488299;4949492466;4949497015;4949500846;4949504991;4949509192;4949513281;4949517501;4949521704;4949525809;4949530014;4949534162;4949538318;4949542525;4949546611;4949550795;4949554981;4949559131;4949563356;4949567528;4949571701;4949575845;4949579975;4949584184;4949588277;4949592479;4949596660;4949600857;4949605010;4949609190;4949613304;4949617478;4949621606;4949625815;4949629944;4949634122;4949638297;4949642457;4949646631;4949650773;4949654944;4949659178;4949663329;4949667449;4949671613;4949675793;4949680029;4949684188;4949688349;4949692494;4949696682;4949700774;4949705028;4949709159;4949713329;4949717551;4949721611;4949725831;4949729949;4949734142;4949738336;4949742441;4949746600;4949751219;4949754999;4949759110;4949763340;4949767484;4949771694;4949775857;4949779970;4949784147;4949788284;4949792449;4949796607;4949800776;4949804994;4949809155;4949813334;4949817493;4949821639;4949825789;4949830033;4949834120;4949838354;4949842434;4949846607;4949850844;4949854950;4949859160;4949863267;4949867541;4949871630;4949875863;4949879957;4949884112;4949888365;4949892482;4949896664;4949900820;4949905012;4949909183;4949913295;4949917432;4949921692;4949925804;4949929934;4949934137;4949938321;4949942457;4949946683;4949950832;4949954959;4949959160;4949963333;4949967523;4949971615;4949975797;4949980045;4949984163;4949988302;4949992457;4949996673;4950000830;4950005522;4950009122;4950013361;4950017508;4950021680;4950025845;4950029946;4950034125;4950038263;4950042504;4950046619;4950050858;4950054958;4950059114;4950063286;4950067529;4950071619;4950075815;4950079947;4950084111;4950088265;4950092465;4950096681;4950101391;4950104947;4950109100;4950113354;4950117527;4950121687;4950125826;4950129946;4950134153;4950138271;4950142484;4950146659;4950150843;4950154999;4950159193;4950163320;4950167470;4950171641;4950175834;4950179973;4950184168;4950188358;4950192491;4950196606;4950200768;4950205025;4950209166;4950213333;4950217515;4950221666;4950225858;4950230015;4950234138;4950238275;4950242443;4950246623;4950250781;4950254955;4950259098;4950263289;4950267519;4950271659;4950275841;4950280042;4950284111;4950288300;4950292494;4950296702;4950300817;4950305004;4950309110;4950313315;4950317468;4950321612;4950325786;4950330023;4950334112;4950338314;4950342494;4950346681;4950350823;4950354948;4950359141;4950363335;4950367518;4950371639;4950375796;4950379987;4950384121;4950388260;4950392487;4950396656;4950400809;4950405028;4950409161;
5,4951252151,4951253447,4951266710,4951271356,4951271763,4951265780,4951266709,23371,4950613364;4950617499;4950621641;4950625822;4950629995;4950634160;4950638261;4950642464;4950646651;4950650847;4950655005;4950659180;4950663363;4950667450;4950671641;4950675812;4950680044;4950684184;4950688265;4950692475;4950696663;4950700762;4950704956;4950709093;4950713285;4950717507;4950721598;4950725830;4950730012;4950734193;4950738255;4950742445;4950746612;4950750797;4950754974;4950759169;4950763277;4950767480;4950771611;4950775841;4950780070;4950784140;4950788342;4950792444;4950796644;4950800804;4950804919;4950809104;4950813304;4950817492;4950821599;4950825768;4950829938;4950834136;4950838338;4950842437;4950846600;4950850806;4950854985;4950859167;4950863251;4950867466;4950871648;4950875803;4950879980;4950884153;4950888261;4950892516;4950896674;4950900803;4950904979;4950909178;4950913280;4950917522;4950921606;4950925815;4950930015;4950934185;4950938278;4950942489;4950946611;4950950771;4950954971;4950959163;4950963269;4950967456;4950971620;4950975799;4950980036;4950984107;4950988347;4950992468;4950996673;4951000763;4951004932;4951009093;4951013296;4951017489;4951021628;4951025806;4951029945;4951034129;4951038299;4951042427;4951046660;4951050805;4951055001;4951059145;4951063348;4951067435;4951071637;4951075768;4951079915;4951084164;4951088285;4951092515;4951096582;4951100770;4951104947;4951109097;4951113288;4951117468;4951121674;4951125839;4951129944;4951134086;4951138253;4951142487;4951146625;4951150763;4951154946;4951159083;4951163330;4951167423;4951171600;4951175827;4951179995;4951184145;4951188332;4951192443;4951196614;4951200799;4951204979;4951209087;4951213308;4951217498;4951221606;4951225824;4951229929;4951234120;4951238336;4951242463;4951246677;4951250762;4951254960;4951259087;4951263278;4951267506;4951271584;
6,4952102775,4952104444,4952115513,4952121463,4952121703,4952113889,4952115513,19558,4951475743;4951480033;4951484087;4951488264;4951492474;4951496667;4951500752;4951504962;4951509115;4951513298;4951517507;4951521656;4951525810;4951529990;4951534105;4951538264;4951542436;4951546661;4951550818;4951554940;4951559150;4951563242;4951567493;4951571638;4951575745;4951579929;4951584104;4951588318;4951592459;4951596602;4951600780;4951604913;4951609124;4951613362;4951617465;4951621593;4951625835;4951629959;4951634078;4951638269;4951642410;4951646601;4951650763;4951654916;4951659136;4951663282;4951667814;4951671667;4951675808;4951679973;4951684171;4951688292;4951692478;4951696591;4951700837;4951704966;4951709104;4951713246;4951717530;4951721613;4951725788;4951729913;4951734117;4951738276;4951742439;4951746657;4951750785;4951754989;4951759163;4951763331;4951767456;4951771599;4951775821;4951779930;4951784167;4951788277;4951792479;4951796585;4951800804;4951805004;4951809108;4951813288;4951817468;4951821657;4951825831;4951829914;4951834128;4951838271;4951842455;4951846602;4951850759;4951854931;4951859135;4951863237;4951867440;4951871588;4951875767;4951879911;4951884099;4951888273;4951892867;4951896577;4951900817;4951904968;4951909150;4951913315;4951917494;4951921675;4951925813;4951929930;4951934157;4951938354;4951942463;4951946666;4951950822;4951954913;4951959165;4951963279;4951967431;4951971645;4951975796;4951979993;4951984135;4951988264;4951992412;4951996605;4952000740;4952004905;4952009140;4952013308;4952017470;4952021623;4952025815;4952029960;4952034108;4952038238;4952042406;4952046605;4952050772;4952054930;4952059143;4952063290;4952067425;4952071644;4952075782;4952079903;4952084159;4952088246;4952092466;4952096653;4952100767;4952104965;4952109121;4952113324;4952117498;4952121579;
7,4953380128,4953381433,4953393648,4953400551,4953400951,4953392693,4953393648,18864,4952325736;4952329997;4952334144;4952338310;4952342489;4952346663;4952350761;4952354955;4952359166;4952363293;4952367486;4952371578;4952375761;4952379940;4952384068;4952388286;4952392459;4952396608;4952400765;4952404987;4952409113;4952413280;4952417455;4952421598;4952425731;4952429905;4952434100;4952438263;4952442462;4952446563;4952450799;4952454899;4952459106;4952463329;4952467452;4952471576;4952475788;4952479903;4952484072;4952488298;4952492402;4952496617;4952500788;4952504910;4952509107;4952513324;4952517401;4952521630;4952525734;4952529942;4952534090;4952538249;4952542483;4952546611;4952550802;4952554922;4952559063;4952563254;4952567464;4952571592;4952575861;4952579979;4952584095;4952588267;4952592404;4952596624;4952600770;4952604904;4952609088;4952613325;4952617430;4952621657;4952625751;4952629977;4952634109;4952638254;4952642465;4952646655;4952650741;4952654967;4952659060;4952663253;4952667408;4952671608;4952675742;4952679978;4952684142;4952688255;4952692465;4952696607;4952700780;4952704952;4952709081;4952713288;4952717432;4952721644;4952725789;4952729900;4952734143;4952738327;4952742408;4952746657;4952750787;4952754954;4952759103;4952763252;4952767443;4952771635;4952775730;4952779941;4952784058;4952788241;4952792416;4952796609;4952800768;4952804906;4952809108;4952813305;4952817395;4952821614;4952825791;4952829973;4952834156;4952838304;4952842400;4952846635;4952850751;4952854896;4952859111;4952863305;4952867414;4952871598;4952875748;4952879999;4952884061;4952888238;4952892473;4952896602;4952900817;4952904996;4952909093;4952913260;4952917453;4952921655;4952925823;4952929947;4952934105;4952938248;4952942476;4952946578;4952950801;4952954988;4952959126;4952963254;4952967425;4952971618;4952975741;4952979984;4952984166;4952988280;4952992468;4952996587;4953000770;4953004911;4953009124;4953013285;4953017448;4953021620;4953025720;4953029902;4953034127;4953038317;4953042390;4953046614;4953050751;4953054983;4953059093;4953063263;4953067410;4953071557;4953075725;4953079970;4953084165;4953088313;4953092480;4953097472;4953100866;4953104976;4953109065;4953113293;4953117575;4953121861;4953125839;4953130000;4953134171;4953138313;4953142459;4953147460;4953150843;4953155001;4953159075;4953164069;4953167498;4953171685;4953175821;4953179969;4953184268;4953188316;4953192395;4953196594;4953200806;4953204936;4953209101;4953213347;4953217453;4953221564;4953225754;4953229915;4953234160;4953238228;4953242416;4953246596;4953250765;4953254888;4953259151;4953263262;4953267392;4953271592;4953275798;4953279887;4953284102;4953288246;4953292439;4953296597;4953300722;4953304990;4953309091;4953313310;4953317467;4953321564;4953325721;4953329980;4953334146;4953338260;4953342404;4953346562;4953350812;4953354951;4953359083;4953363248;4953367445;4953371563;4953375723;4953379964;4953384205;4953388323;4953392452;4953396615;4953400818;
8,4954636552,4954637366,4954651080,4954658847,4954659261,4954650679,4954651080,20752,4953604963;4953609139;4953613238;4953617400;4953621552;4953625721;4953629896;4953634078;4953638263;4953642480;4953646560;4953650833;4953654957;4953659061;4953663257;4953667453;4953671559;4953675728;4953679900;4953684109;4953688288;4953692389;4953696590;4953700760;4953704892;4953709122;4953713252;4953717510;4953721628;4953725710;4953729936;4953734107;4953738268;4953742446;4953746566;4953750738;4953754995;4953759112;4953763254;4953767451;4953771580;4953775850;4953779952;4953784055;4953788328;4953792381;4953796632;4953800811;4953804951;4953809113;4953813295;4953817424;4953821637;4953825813;4953829978;4953834149;4953838289;4953842400;4953846550;4953850752;4953854905;4953859053;4953863212;4953867401;4953871588;4953875825;4953879961;4953884180;4953888289;4953892444;4953896802;4953900785;4953904894;4953909166;4953913316;4953917455;4953921659;4953925837;4953929950;4953934189;4953938302;4953942491;4953946615;4953950779;4953954929;4953959105;4953963267;4953967391;4953971667;4953975839;4953980053;4953984057;4953988312;4953992380;4953996545;4954000818;4954004968;4954009162;4954013249;4954017411;4954021560;4954025750;4954029995;4954034048;4954038240;4954042497;4954046668;4954050799;4954055020;4954059133;4954063229;4954067387;4954071649;4954075782;4954079916;4954084056;4954088261;4954092374;4954096637;4954100725;4954104877;4954109041;4954113308;4954117443;4954121630;4954125772;4954129942;4954134098;4954138312;4954142489;4954146560;4954150831;4954154998;4954159122;4954163321;4954167511;4954171688;4954175835;4954180063;4954184129;4954188313;4954192490;4954196657;4954200713;4954204988;4954209160;4954213248;4954217494;4954221609;4954225862;4954229887;4954234124;4954238258;4954242425;4954246734;4954250751;4954254924;4954259074;4954263300;4954267705;4954271556;4954275742;4954279911;4954284064;4954288287;4954292477;4954296574;4954300771;4954304947;4954309042;4954313348;4954317514;4954321661;4954325705;4954329951;4954334132;4954338303;4954342542;4954346635;4954350748;4954354988;4954359053;4954363259;4954367468;4954371656;4954375879;4954380043;4954384088;4954388318;4954392395;4954396597;4954400862;4954404990;4954409102;4954413361;4954417471;4954421598;4954425881;4954430206;4954434165;4954438330;4954442459;4954446597;4954450797;4954454886;4954459067;4954463315;4954467840;4954471544;4954475706;4954479874;4954484069;4954488366;4954492515;4954496645;4954500745;4954504981;4954509211;4954513312;4954517479;4954521606;4954525762;4954529911;4954534137;4954538245;4954542459;4954546545;4954550745;4954554962;4954559057;4954563199;4954567371;4954571591;4954575779;4954579934;4954584083;4954588251;4954592433;4954596617;4954600785;4954604936;4954609090;4954613208;4954617447;4954621610;4954625734;4954629899;4954634056;4954638297;4954642389;4954646559;4954650726;4954654959;4954659093;
9,4955551773,4955553388,4955566917,4955571313,4955571731,4955566455,4955566917,22664,4954863246;4954867406;4954871591;4954875777;4954879901;4954884052;4954888267;4954892364;4954896614;4954900788;4954904903;4954909035;4954913201;4954917444;4954921618;4954925712;4954929924;4954934028;4954938249;4954942431;4954946544;4954950715;4954954913;4954959030;4954963238;4954967445;4954971587;4954975726;4954979942;4954984047;4954988274;4954992456;4954996555;4955000760;4955004927;4955009064;4955013261;4955017436;4955021541;4955025728;4955029930;4955034049;4955038201;4955042446;4955046534;4955050759;4955054948;4955059034;4955063290;4955067374;4955071534;4955075755;4955079910;4955084054;4955088236;4955092394;4955096562;4955100732;4955104874;4955109087;4955113227;4955117405;4955121524;4955125721;4955129873;4955134070;4955138289;4955142384;4955146549;4955150741;4955154897;4955159076;4955163265;4955167448;4955171608;4955175702;4955179869;4955184067;4955188260;4955192360;4955196596;4955200763;4955204924;4955209083;4955213233;4955217392;4955221550;4955225708;4955229855;4955234122;4955238213;4955242431;4955246605;4955250693;4955254903;4955259068;4955263264;4955267423;4955271616;4955275775;4955279933;4955284040;4955288276;4955292360;4955296557;4955300712;4955304943;4955309025;4955313252;4955317418;4955321597;4955325766;4955329937;4955334074;4955338262;4955342408;4955346598;4955350750;4955354920;4955359022;4955363191;4955367354;4955371545;4955375708;4955379888;4955384092;4955388261;4955392416;4955396612;4955400787;4955404862;4955409114;4955413285;4955417396;4955421529;4955425691;4955429937;4955434121;4955438289;4955442457;4955446546;4955450772;4955454854;4955459037;4955463281;4955467372;4955471593;4955475746;4955479861;4955484051;4955488203;4955492410;4955496550;4955500713;4955504888;4955509042;4955513193;4955517358;4955521574;4955525751;4955529959;4955534076;4955538240;4955542413;4955546567;4955550771;4955554910;4955559064;4955563284;4955567443;4955571603;
