,id,threshold,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,ete,fw,diff
0,0,497,Qt6,default,Qt6_default,no_fullscreen,,none,11319,-1,11320
1,1,497,Qt6,default,Qt6_default,no_fullscreen,,none,13446,-1,13447
