-,id,framework,complexity,framework_complexity,program,fw_running,program_fwrunning,ete,fw,diff
0,0,SDL2_OPENGL,default,SDL2_OPENGL_default,windup_python,True,windup_python_True,13220,-1,13221
1,1,SDL2_OPENGL,default,SDL2_OPENGL_default,windup_python,True,windup_python_True,12096,-1,12097
2,2,SDL2_OPENGL,default,SDL2_OPENGL_default,windup_python,True,windup_python_True,12656,-1,12657
3,3,SDL2_OPENGL,default,SDL2_OPENGL_default,windup_python,True,windup_python_True,11760,-1,11761
4,4,SDL2_OPENGL,default,SDL2_OPENGL_default,windup_python,True,windup_python_True,12780,-1,12781
5,5,SDL2_OPENGL,default,SDL2_OPENGL_default,windup_python,True,windup_python_True,13672,-1,13673
6,6,SDL2_OPENGL,default,SDL2_OPENGL_default,windup_python,True,windup_python_True,13108,-1,13109
7,7,SDL2_OPENGL,default,SDL2_OPENGL_default,windup_python,True,windup_python_True,13672,-1,13673
8,8,SDL2_OPENGL,default,SDL2_OPENGL_default,windup_python,True,windup_python_True,12104,-1,12105
9,9,SDL2_OPENGL,default,SDL2_OPENGL_default,windup_python,True,windup_python_True,11988,-1,11989
10,10,SDL2_OPENGL,default,SDL2_OPENGL_default,windup_python,True,windup_python_True,13000,-1,13001
11,11,SDL2_OPENGL,default,SDL2_OPENGL_default,windup_python,True,windup_python_True,12440,-1,12441
12,12,SDL2_OPENGL,default,SDL2_OPENGL_default,windup_python,True,windup_python_True,13448,-1,13449
13,13,SDL2_OPENGL,default,SDL2_OPENGL_default,windup_python,True,windup_python_True,12544,-1,12545
14,14,SDL2_OPENGL,default,SDL2_OPENGL_default,windup_python,True,windup_python_True,13212,-1,13213
15,15,SDL2_OPENGL,default,SDL2_OPENGL_default,windup_python,True,windup_python_True,13112,-1,13113
16,16,SDL2_OPENGL,default,SDL2_OPENGL_default,windup_python,True,windup_python_True,11424,-1,11425
17,17,SDL2_OPENGL,default,SDL2_OPENGL_default,windup_python,True,windup_python_True,13556,-1,13557
18,18,SDL2_OPENGL,default,SDL2_OPENGL_default,windup_python,True,windup_python_True,12436,-1,12437
19,19,SDL2_OPENGL,default,SDL2_OPENGL_default,windup_python,True,windup_python_True,13668,-1,13669
20,20,SDL2_OPENGL,default,SDL2_OPENGL_default,windup_python,True,windup_python_True,12888,-1,12889
21,21,SDL2_OPENGL,default,SDL2_OPENGL_default,windup_python,True,windup_python_True,12432,-1,12433
22,22,SDL2_OPENGL,default,SDL2_OPENGL_default,windup_python,True,windup_python_True,12772,-1,12773
23,23,SDL2_OPENGL,default,SDL2_OPENGL_default,windup_python,True,windup_python_True,12776,-1,12777
24,24,SDL2_OPENGL,default,SDL2_OPENGL_default,windup_python,True,windup_python_True,12436,-1,12437
25,25,SDL2_OPENGL,default,SDL2_OPENGL_default,windup_python,True,windup_python_True,12212,-1,12213
26,26,SDL2_OPENGL,default,SDL2_OPENGL_default,windup_python,True,windup_python_True,13104,-1,13105
27,27,SDL2_OPENGL,default,SDL2_OPENGL_default,windup_python,True,windup_python_True,12656,-1,12657
28,28,SDL2_OPENGL,default,SDL2_OPENGL_default,windup_python,True,windup_python_True,12328,-1,12329
29,29,SDL2_OPENGL,default,SDL2_OPENGL_default,windup_python,True,windup_python_True,11760,-1,11761
30,30,SDL2_OPENGL,default,SDL2_OPENGL_default,windup_python,True,windup_python_True,13548,-1,13549
31,31,SDL2_OPENGL,default,SDL2_OPENGL_default,windup_python,True,windup_python_True,14000,-1,14001
32,32,SDL2_OPENGL,default,SDL2_OPENGL_default,windup_python,True,windup_python_True,12220,-1,12221
33,33,SDL2_OPENGL,default,SDL2_OPENGL_default,windup_python,True,windup_python_True,13108,-1,13109
34,34,SDL2_OPENGL,default,SDL2_OPENGL_default,windup_python,True,windup_python_True,11652,-1,11653
35,35,SDL2_OPENGL,default,SDL2_OPENGL_default,windup_python,True,windup_python_True,12656,-1,12657
36,36,SDL2_OPENGL,default,SDL2_OPENGL_default,windup_python,True,windup_python_True,13780,-1,13781
37,37,SDL2_OPENGL,default,SDL2_OPENGL_default,windup_python,True,windup_python_True,15692,-1,15693
38,38,SDL2_OPENGL,default,SDL2_OPENGL_default,windup_python,True,windup_python_True,12440,-1,12441
39,39,SDL2_OPENGL,default,SDL2_OPENGL_default,windup_python,True,windup_python_True,12892,-1,12893
40,40,SDL2_OPENGL,default,SDL2_OPENGL_default,windup_python,True,windup_python_True,13892,-1,13893
41,41,SDL2_OPENGL,default,SDL2_OPENGL_default,windup_python,True,windup_python_True,13560,-1,13561
42,42,SDL2_OPENGL,default,SDL2_OPENGL_default,windup_python,True,windup_python_True,11204,-1,11205
43,43,SDL2_OPENGL,default,SDL2_OPENGL_default,windup_python,True,windup_python_True,12204,-1,12205
44,44,SDL2_OPENGL,default,SDL2_OPENGL_default,windup_python,True,windup_python_True,11868,-1,11869
45,45,SDL2_OPENGL,default,SDL2_OPENGL_default,windup_python,True,windup_python_True,11760,-1,11761
46,46,SDL2_OPENGL,default,SDL2_OPENGL_default,windup_python,True,windup_python_True,12768,-1,12769
47,47,SDL2_OPENGL,default,SDL2_OPENGL_default,windup_python,True,windup_python_True,12216,-1,12217
48,48,SDL2_OPENGL,default,SDL2_OPENGL_default,windup_python,True,windup_python_True,12772,-1,12773
49,49,SDL2_OPENGL,default,SDL2_OPENGL_default,windup_python,True,windup_python_True,12432,-1,12433
