-,id,framework,complexity,framework_complexity,program,fw_running,program_fwrunning,ete,fw,diff
0,0,SDL2_Software,default,SDL2_Software_default,windup_python,True,windup_python_True,15236,-1,15237
1,1,SDL2_Software,default,SDL2_Software_default,windup_python,True,windup_python_True,16580,-1,16581
2,2,SDL2_Software,default,SDL2_Software_default,windup_python,True,windup_python_True,16024,-1,16025
3,3,SDL2_Software,default,SDL2_Software_default,windup_python,True,windup_python_True,17028,-1,17029
4,4,SDL2_Software,default,SDL2_Software_default,windup_python,True,windup_python_True,16360,-1,16361
5,5,SDL2_Software,default,SDL2_Software_default,windup_python,True,windup_python_True,22304,-1,22305
6,6,SDL2_Software,default,SDL2_Software_default,windup_python,True,windup_python_True,17036,-1,17037
7,7,SDL2_Software,default,SDL2_Software_default,windup_python,True,windup_python_True,16696,-1,16697
8,8,SDL2_Software,default,SDL2_Software_default,windup_python,True,windup_python_True,16136,-1,16137
9,9,SDL2_Software,default,SDL2_Software_default,windup_python,True,windup_python_True,16244,-1,16245
10,10,SDL2_Software,default,SDL2_Software_default,windup_python,True,windup_python_True,16804,-1,16805
11,11,SDL2_Software,default,SDL2_Software_default,windup_python,True,windup_python_True,16468,-1,16469
12,12,SDL2_Software,default,SDL2_Software_default,windup_python,True,windup_python_True,15908,-1,15909
13,13,SDL2_Software,default,SDL2_Software_default,windup_python,True,windup_python_True,16464,-1,16465
14,14,SDL2_Software,default,SDL2_Software_default,windup_python,True,windup_python_True,15124,-1,15125
15,15,SDL2_Software,default,SDL2_Software_default,windup_python,True,windup_python_True,16236,-1,16237
16,16,SDL2_Software,default,SDL2_Software_default,windup_python,True,windup_python_True,16700,-1,16701
17,17,SDL2_Software,default,SDL2_Software_default,windup_python,True,windup_python_True,16012,-1,16013
18,18,SDL2_Software,default,SDL2_Software_default,windup_python,True,windup_python_True,15684,-1,15685
19,19,SDL2_Software,default,SDL2_Software_default,windup_python,True,windup_python_True,14572,-1,14573
20,20,SDL2_Software,default,SDL2_Software_default,windup_python,True,windup_python_True,16820,-1,16821
21,21,SDL2_Software,default,SDL2_Software_default,windup_python,True,windup_python_True,15680,-1,15681
22,22,SDL2_Software,default,SDL2_Software_default,windup_python,True,windup_python_True,18032,-1,18033
23,23,SDL2_Software,default,SDL2_Software_default,windup_python,True,windup_python_True,17024,-1,17025
24,24,SDL2_Software,default,SDL2_Software_default,windup_python,True,windup_python_True,23520,-1,23521
25,25,SDL2_Software,default,SDL2_Software_default,windup_python,True,windup_python_True,17588,-1,17589
26,26,SDL2_Software,default,SDL2_Software_default,windup_python,True,windup_python_True,15676,-1,15677
27,27,SDL2_Software,default,SDL2_Software_default,windup_python,True,windup_python_True,15348,-1,15349
28,28,SDL2_Software,default,SDL2_Software_default,windup_python,True,windup_python_True,15796,-1,15797
29,29,SDL2_Software,default,SDL2_Software_default,windup_python,True,windup_python_True,16024,-1,16025
30,30,SDL2_Software,default,SDL2_Software_default,windup_python,True,windup_python_True,15228,-1,15229
31,31,SDL2_Software,default,SDL2_Software_default,windup_python,True,windup_python_True,16912,-1,16913
32,32,SDL2_Software,default,SDL2_Software_default,windup_python,True,windup_python_True,15464,-1,15465
33,33,SDL2_Software,default,SDL2_Software_default,windup_python,True,windup_python_True,16016,-1,16017
34,34,SDL2_Software,default,SDL2_Software_default,windup_python,True,windup_python_True,14784,-1,14785
35,35,SDL2_Software,default,SDL2_Software_default,windup_python,True,windup_python_True,17808,-1,17809
36,36,SDL2_Software,default,SDL2_Software_default,windup_python,True,windup_python_True,15916,-1,15917
37,37,SDL2_Software,default,SDL2_Software_default,windup_python,True,windup_python_True,18488,-1,18489
38,38,SDL2_Software,default,SDL2_Software_default,windup_python,True,windup_python_True,15572,-1,15573
39,39,SDL2_Software,default,SDL2_Software_default,windup_python,True,windup_python_True,14672,-1,14673
40,40,SDL2_Software,default,SDL2_Software_default,windup_python,True,windup_python_True,16012,-1,16013
41,41,SDL2_Software,default,SDL2_Software_default,windup_python,True,windup_python_True,15692,-1,15693
42,42,SDL2_Software,default,SDL2_Software_default,windup_python,True,windup_python_True,15912,-1,15913
43,43,SDL2_Software,default,SDL2_Software_default,windup_python,True,windup_python_True,15124,-1,15125
44,44,SDL2_Software,default,SDL2_Software_default,windup_python,True,windup_python_True,15572,-1,15573
45,45,SDL2_Software,default,SDL2_Software_default,windup_python,True,windup_python_True,16808,-1,16809
46,46,SDL2_Software,default,SDL2_Software_default,windup_python,True,windup_python_True,15348,-1,15349
47,47,SDL2_Software,default,SDL2_Software_default,windup_python,True,windup_python_True,15908,-1,15909
48,48,SDL2_Software,default,SDL2_Software_default,windup_python,True,windup_python_True,15232,-1,15233
49,49,SDL2_Software,default,SDL2_Software_default,windup_python,True,windup_python_True,16468,-1,16469
