-,id,framework,complexity,framework_complexity,program,fw_running,program_fwrunning,ete,fw,diff
0,0,SDL2_OPENGL,rects,SDL2_OPENGL_rects,windup_python,True,windup_python_True,13224,-1,13225
1,1,SDL2_OPENGL,rects,SDL2_OPENGL_rects,windup_python,True,windup_python_True,16360,5673576,-5657216
2,2,SDL2_OPENGL,rects,SDL2_OPENGL_rects,windup_python,True,windup_python_True,16136,1307097,-1290961
3,3,SDL2_OPENGL,rects,SDL2_OPENGL_rects,windup_python,True,windup_python_True,16472,1492695,-1476223
4,4,SDL2_OPENGL,rects,SDL2_OPENGL_rects,windup_python,True,windup_python_True,15236,986361,-971125
5,5,SDL2_OPENGL,rects,SDL2_OPENGL_rects,windup_python,True,windup_python_True,15804,1410227,-1394423
6,6,SDL2_OPENGL,rects,SDL2_OPENGL_rects,windup_python,True,windup_python_True,14896,1619666,-1604770
7,7,SDL2_OPENGL,rects,SDL2_OPENGL_rects,windup_python,True,windup_python_True,15348,1138287,-1122939
8,8,SDL2_OPENGL,rects,SDL2_OPENGL_rects,windup_python,True,windup_python_True,16248,1202782,-1186534
9,9,SDL2_OPENGL,rects,SDL2_OPENGL_rects,windup_python,True,windup_python_True,15804,972289,-956485
10,10,SDL2_OPENGL,rects,SDL2_OPENGL_rects,windup_python,True,windup_python_True,15568,1404454,-1388886
11,11,SDL2_OPENGL,rects,SDL2_OPENGL_rects,windup_python,True,windup_python_True,14908,1666374,-1651466
12,12,SDL2_OPENGL,rects,SDL2_OPENGL_rects,windup_python,True,windup_python_True,14564,1411849,-1397285
13,13,SDL2_OPENGL,rects,SDL2_OPENGL_rects,windup_python,True,windup_python_True,16244,1651893,-1635649
14,14,SDL2_OPENGL,rects,SDL2_OPENGL_rects,windup_python,True,windup_python_True,15688,1245237,-1229549
15,15,SDL2_OPENGL,rects,SDL2_OPENGL_rects,windup_python,True,windup_python_True,16016,1694465,-1678449
16,16,SDL2_OPENGL,rects,SDL2_OPENGL_rects,windup_python,True,windup_python_True,15236,763679,-748443
17,17,SDL2_OPENGL,rects,SDL2_OPENGL_rects,windup_python,True,windup_python_True,15800,788891,-773091
18,18,SDL2_OPENGL,rects,SDL2_OPENGL_rects,windup_python,True,windup_python_True,14224,702032,-687808
19,19,SDL2_OPENGL,rects,SDL2_OPENGL_rects,windup_python,True,windup_python_True,14340,1024253,-1009913
20,20,SDL2_OPENGL,rects,SDL2_OPENGL_rects,windup_python,True,windup_python_True,14336,832124,-817788
21,21,SDL2_OPENGL,rects,SDL2_OPENGL_rects,windup_python,True,windup_python_True,16032,966818,-950786
22,22,SDL2_OPENGL,rects,SDL2_OPENGL_rects,windup_python,True,windup_python_True,15916,1489403,-1473487
23,23,SDL2_OPENGL,rects,SDL2_OPENGL_rects,windup_python,True,windup_python_True,14684,1240712,-1226028
24,24,SDL2_OPENGL,rects,SDL2_OPENGL_rects,windup_python,True,windup_python_True,15228,1651154,-1635926
25,25,SDL2_OPENGL,rects,SDL2_OPENGL_rects,windup_python,True,windup_python_True,15008,1694151,-1679143
26,26,SDL2_OPENGL,rects,SDL2_OPENGL_rects,windup_python,True,windup_python_True,14344,821390,-807046
27,27,SDL2_OPENGL,rects,SDL2_OPENGL_rects,windup_python,True,windup_python_True,16128,1417789,-1401661
28,28,SDL2_OPENGL,rects,SDL2_OPENGL_rects,windup_python,True,windup_python_True,14676,1509701,-1495025
29,29,SDL2_OPENGL,rects,SDL2_OPENGL_rects,windup_python,True,windup_python_True,15564,1244067,-1228503
30,30,SDL2_OPENGL,rects,SDL2_OPENGL_rects,windup_python,True,windup_python_True,14220,1623658,-1609438
31,31,SDL2_OPENGL,rects,SDL2_OPENGL_rects,windup_python,True,windup_python_True,15340,983371,-968031
32,32,SDL2_OPENGL,rects,SDL2_OPENGL_rects,windup_python,True,windup_python_True,14236,1472499,-1458263
33,33,SDL2_OPENGL,rects,SDL2_OPENGL_rects,windup_python,True,windup_python_True,15792,870700,-854908
34,34,SDL2_OPENGL,rects,SDL2_OPENGL_rects,windup_python,True,windup_python_True,16688,1158901,-1142213
35,35,SDL2_OPENGL,rects,SDL2_OPENGL_rects,windup_python,True,windup_python_True,16144,1051189,-1035045
36,36,SDL2_OPENGL,rects,SDL2_OPENGL_rects,windup_python,True,windup_python_True,15348,1004620,-989272
37,37,SDL2_OPENGL,rects,SDL2_OPENGL_rects,windup_python,True,windup_python_True,15236,815415,-800179
38,38,SDL2_OPENGL,rects,SDL2_OPENGL_rects,windup_python,True,windup_python_True,16020,1199790,-1183770
39,39,SDL2_OPENGL,rects,SDL2_OPENGL_rects,windup_python,True,windup_python_True,14564,938709,-924145
40,40,SDL2_OPENGL,rects,SDL2_OPENGL_rects,windup_python,True,windup_python_True,15232,1175500,-1160268
41,41,SDL2_OPENGL,rects,SDL2_OPENGL_rects,windup_python,True,windup_python_True,15012,1121111,-1106099
42,42,SDL2_OPENGL,rects,SDL2_OPENGL_rects,windup_python,True,windup_python_True,15120,1049192,-1034072
43,43,SDL2_OPENGL,rects,SDL2_OPENGL_rects,windup_python,True,windup_python_True,15352,1377313,-1361961
44,44,SDL2_OPENGL,rects,SDL2_OPENGL_rects,windup_python,True,windup_python_True,16352,1010259,-993907
45,45,SDL2_OPENGL,rects,SDL2_OPENGL_rects,windup_python,True,windup_python_True,15236,1254607,-1239371
46,46,SDL2_OPENGL,rects,SDL2_OPENGL_rects,windup_python,True,windup_python_True,16352,1478045,-1461693
47,47,SDL2_OPENGL,rects,SDL2_OPENGL_rects,windup_python,True,windup_python_True,15240,1679877,-1664637
