-,id,framework,complexity,framework_complexity,program,fw_running,program_fwrunning,ete,fw,diff
0,0,SDL2_OpenGLES,default,SDL2_OpenGLES_default,windup_python,True,windup_python_True,13232,-1,13233
1,1,SDL2_OpenGLES,default,SDL2_OpenGLES_default,windup_python,True,windup_python_True,13888,5989512,-5975624
2,2,SDL2_OpenGLES,default,SDL2_OpenGLES_default,windup_python,True,windup_python_True,13556,1577898,-1564342
3,3,SDL2_OpenGLES,default,SDL2_OpenGLES_default,windup_python,True,windup_python_True,13336,972588,-959252
4,4,SDL2_OpenGLES,default,SDL2_OpenGLES_default,windup_python,True,windup_python_True,14456,1401624,-1387168
5,5,SDL2_OpenGLES,default,SDL2_OpenGLES_default,windup_python,True,windup_python_True,13104,1523922,-1510818
6,6,SDL2_OpenGLES,default,SDL2_OpenGLES_default,windup_python,True,windup_python_True,14460,1684093,-1669633
7,7,SDL2_OpenGLES,default,SDL2_OpenGLES_default,windup_python,True,windup_python_True,14228,847418,-833190
8,8,SDL2_OpenGLES,default,SDL2_OpenGLES_default,windup_python,True,windup_python_True,13448,1522471,-1509023
9,9,SDL2_OpenGLES,default,SDL2_OpenGLES_default,windup_python,True,windup_python_True,13128,1261044,-1247916
10,10,SDL2_OpenGLES,default,SDL2_OpenGLES_default,windup_python,True,windup_python_True,12320,932142,-919822
11,11,SDL2_OpenGLES,default,SDL2_OpenGLES_default,windup_python,True,windup_python_True,13896,1239207,-1225311
12,12,SDL2_OpenGLES,default,SDL2_OpenGLES_default,windup_python,True,windup_python_True,13112,1323461,-1310349
13,13,SDL2_OpenGLES,default,SDL2_OpenGLES_default,windup_python,True,windup_python_True,14232,1475638,-1461406
14,14,SDL2_OpenGLES,default,SDL2_OpenGLES_default,windup_python,True,windup_python_True,12780,1239962,-1227182
15,15,SDL2_OpenGLES,default,SDL2_OpenGLES_default,windup_python,True,windup_python_True,12884,777576,-764692
16,16,SDL2_OpenGLES,default,SDL2_OpenGLES_default,windup_python,True,windup_python_True,14224,822799,-808575
17,17,SDL2_OpenGLES,default,SDL2_OpenGLES_default,windup_python,True,windup_python_True,14568,1254286,-1239718
18,18,SDL2_OpenGLES,default,SDL2_OpenGLES_default,windup_python,True,windup_python_True,13564,1211909,-1198345
19,19,SDL2_OpenGLES,default,SDL2_OpenGLES_default,windup_python,True,windup_python_True,13004,1643603,-1630599
20,20,SDL2_OpenGLES,default,SDL2_OpenGLES_default,windup_python,True,windup_python_True,11992,1403948,-1391956
21,21,SDL2_OpenGLES,default,SDL2_OpenGLES_default,windup_python,True,windup_python_True,12540,1132971,-1120431
22,22,SDL2_OpenGLES,default,SDL2_OpenGLES_default,windup_python,True,windup_python_True,13108,1424190,-1411082
23,23,SDL2_OpenGLES,default,SDL2_OpenGLES_default,windup_python,True,windup_python_True,13780,921535,-907755
24,24,SDL2_OpenGLES,default,SDL2_OpenGLES_default,windup_python,True,windup_python_True,13660,1501362,-1487702
25,25,SDL2_OpenGLES,default,SDL2_OpenGLES_default,windup_python,True,windup_python_True,12780,889290,-876510
26,26,SDL2_OpenGLES,default,SDL2_OpenGLES_default,windup_python,True,windup_python_True,12768,845274,-832506
27,27,SDL2_OpenGLES,default,SDL2_OpenGLES_default,windup_python,True,windup_python_True,14792,1368026,-1353234
28,28,SDL2_OpenGLES,default,SDL2_OpenGLES_default,windup_python,True,windup_python_True,12992,1421200,-1408208
29,29,SDL2_OpenGLES,default,SDL2_OpenGLES_default,windup_python,True,windup_python_True,12996,1320500,-1307504
30,30,SDL2_OpenGLES,default,SDL2_OpenGLES_default,windup_python,True,windup_python_True,14112,1299163,-1285051
31,31,SDL2_OpenGLES,default,SDL2_OpenGLES_default,windup_python,True,windup_python_True,13228,1477200,-1463972
32,32,SDL2_OpenGLES,default,SDL2_OpenGLES_default,windup_python,True,windup_python_True,13112,1115018,-1101906
33,33,SDL2_OpenGLES,default,SDL2_OpenGLES_default,windup_python,True,windup_python_True,13664,1433022,-1419358
34,34,SDL2_OpenGLES,default,SDL2_OpenGLES_default,windup_python,True,windup_python_True,12772,1269575,-1256803
35,35,SDL2_OpenGLES,default,SDL2_OpenGLES_default,windup_python,True,windup_python_True,13232,712065,-698833
36,36,SDL2_OpenGLES,default,SDL2_OpenGLES_default,windup_python,True,windup_python_True,15692,819806,-804114
37,37,SDL2_OpenGLES,default,SDL2_OpenGLES_default,windup_python,True,windup_python_True,13112,1020969,-1007857
38,38,SDL2_OpenGLES,default,SDL2_OpenGLES_default,windup_python,True,windup_python_True,13112,1550022,-1536910
39,39,SDL2_OpenGLES,default,SDL2_OpenGLES_default,windup_python,True,windup_python_True,12892,1690626,-1677734
40,40,SDL2_OpenGLES,default,SDL2_OpenGLES_default,windup_python,True,windup_python_True,14340,943478,-929138
41,41,SDL2_OpenGLES,default,SDL2_OpenGLES_default,windup_python,True,windup_python_True,14676,1559955,-1545279
42,42,SDL2_OpenGLES,default,SDL2_OpenGLES_default,windup_python,True,windup_python_True,12212,835836,-823624
43,43,SDL2_OpenGLES,default,SDL2_OpenGLES_default,windup_python,True,windup_python_True,12988,1387794,-1374806
44,44,SDL2_OpenGLES,default,SDL2_OpenGLES_default,windup_python,True,windup_python_True,13100,1135042,-1121942
45,45,SDL2_OpenGLES,default,SDL2_OpenGLES_default,windup_python,True,windup_python_True,13336,1454109,-1440773
46,46,SDL2_OpenGLES,default,SDL2_OpenGLES_default,windup_python,True,windup_python_True,14240,1557163,-1542923
47,47,SDL2_OpenGLES,default,SDL2_OpenGLES_default,windup_python,True,windup_python_True,14012,760511,-746499
48,48,SDL2_OpenGLES,default,SDL2_OpenGLES_default,windup_python,True,windup_python_True,13116,1069142,-1056026
49,49,SDL2_OpenGLES,default,SDL2_OpenGLES_default,windup_python,True,windup_python_True,13224,1471978,-1458754
