,id,threshold,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,fw_running,program_fwrunning,ete,fw,diff
48,48,510\r\n',SDL2_OpenGL,rects,SDL2_OpenGL_rects,True,3,getpixel,True,getpixel_True,6628,2080,4548
49,49,510\r\n',SDL2_OpenGL,rects,SDL2_OpenGL_rects,True,3,getpixel,True,getpixel_True,6628,2107,4521
50,50,510\r\n',SDL2_OpenGL,rects,SDL2_OpenGL_rects,True,3,getpixel,True,getpixel_True,5615,1471,4144
51,51,510\r\n',SDL2_OpenGL,rects,SDL2_OpenGL_rects,True,3,getpixel,True,getpixel_True,5617,1623,3994
52,52,510\r\n',SDL2_OpenGL,rects,SDL2_OpenGL_rects,True,3,getpixel,True,getpixel_True,5151,2067,3084
53,53,510\r\n',SDL2_OpenGL,rects,SDL2_OpenGL_rects,True,3,getpixel,True,getpixel_True,5615,1530,4085
54,54,510\r\n',SDL2_OpenGL,rects,SDL2_OpenGL_rects,True,3,getpixel,True,getpixel_True,5657,2095,3562
55,55,510\r\n',SDL2_OpenGL,rects,SDL2_OpenGL_rects,True,3,getpixel,True,getpixel_True,6629,2038,4591
56,56,510\r\n',SDL2_OpenGL,rects,SDL2_OpenGL_rects,True,3,getpixel,True,getpixel_True,4601,2262,2339
57,57,510\r\n',SDL2_OpenGL,rects,SDL2_OpenGL_rects,True,3,getpixel,True,getpixel_True,7642,2056,5586
58,58,510\r\n',SDL2_OpenGL,rects,SDL2_OpenGL_rects,True,3,getpixel,True,getpixel_True,7601,2070,5531
59,59,510\r\n',SDL2_OpenGL,rects,SDL2_OpenGL_rects,True,3,getpixel,True,getpixel_True,8614,2077,6537
60,60,510\r\n',SDL2_OpenGL,rects,SDL2_OpenGL_rects,True,3,getpixel,True,getpixel_True,5658,1543,4115
61,61,510\r\n',SDL2_OpenGL,rects,SDL2_OpenGL_rects,True,3,getpixel,True,getpixel_True,7980,2123,5857
62,62,510\r\n',SDL2_OpenGL,rects,SDL2_OpenGL_rects,True,3,getpixel,True,getpixel_True,6797,2053,4744
63,63,510\r\n',SDL2_OpenGL,rects,SDL2_OpenGL_rects,True,3,getpixel,True,getpixel_True,4602,2283,2319
64,64,510\r\n',SDL2_OpenGL,rects,SDL2_OpenGL_rects,True,3,getpixel,True,getpixel_True,8656,2183,6473
65,65,510\r\n',SDL2_OpenGL,rects,SDL2_OpenGL_rects,True,3,getpixel,True,getpixel_True,5615,2035,3580
66,66,510\r\n',SDL2_OpenGL,rects,SDL2_OpenGL_rects,True,3,getpixel,True,getpixel_True,5193,2798,2395
67,67,510\r\n',SDL2_OpenGL,rects,SDL2_OpenGL_rects,True,3,getpixel,True,getpixel_True,6628,2045,4583
68,68,510\r\n',SDL2_OpenGL,rects,SDL2_OpenGL_rects,True,3,getpixel,True,getpixel_True,5615,2177,3438
69,69,510\r\n',SDL2_OpenGL,rects,SDL2_OpenGL_rects,True,3,getpixel,True,getpixel_True,4601,2239,2362
70,70,510\r\n',SDL2_OpenGL,rects,SDL2_OpenGL_rects,True,3,getpixel,True,getpixel_True,6674,2158,4516
71,71,510\r\n',SDL2_OpenGL,rects,SDL2_OpenGL_rects,True,3,getpixel,True,getpixel_True,5615,2111,3504
72,72,510\r\n',SDL2_OpenGL,rects,SDL2_OpenGL_rects,True,3,getpixel,True,getpixel_True,6629,2117,4512
73,73,510\r\n',SDL2_OpenGL,rects,SDL2_OpenGL_rects,True,3,getpixel,True,getpixel_True,4601,2151,2450
74,74,510\r\n',SDL2_OpenGL,rects,SDL2_OpenGL_rects,True,3,getpixel,True,getpixel_True,5614,2027,3587
75,75,510\r\n',SDL2_OpenGL,rects,SDL2_OpenGL_rects,True,3,getpixel,True,getpixel_True,4643,2066,2577
76,76,510\r\n',SDL2_OpenGL,rects,SDL2_OpenGL_rects,True,3,getpixel,True,getpixel_True,6628,2131,4497
77,77,510\r\n',SDL2_OpenGL,rects,SDL2_OpenGL_rects,True,3,getpixel,True,getpixel_True,5615,2159,3456
