,id,threshold,framework,complexity,framework_complexity,fullscreen,fullscreen_mode,program,fw_running,program_fwrunning,ete,fw,diff
59,59,509\r\n',Qt5,rects,Qt5_rects,True,2,getpixel,True,getpixel_True,24628,18511,6117
60,60,509\r\n',Qt5,rects,Qt5_rects,True,2,getpixel,True,getpixel_True,24626,18770,5856
61,61,509\r\n',Qt5,rects,Qt5_rects,True,2,getpixel,True,getpixel_True,24581,18687,5894
62,62,509\r\n',Qt5,rects,Qt5_rects,True,2,getpixel,True,getpixel_True,24624,18842,5782
63,63,509\r\n',Qt5,rects,Qt5_rects,True,2,getpixel,True,getpixel_True,25638,19691,5947
64,64,509\r\n',Qt5,rects,Qt5_rects,True,2,getpixel,True,getpixel_True,22643,18893,3750
65,65,509\r\n',Qt5,rects,Qt5_rects,True,2,getpixel,True,getpixel_True,25598,19820,5778
66,66,509\r\n',Qt5,rects,Qt5_rects,True,2,getpixel,True,getpixel_True,24624,18401,6223
67,67,509\r\n',Qt5,rects,Qt5_rects,True,2,getpixel,True,getpixel_True,25596,19276,6320
68,68,509\r\n',Qt5,rects,Qt5_rects,True,2,getpixel,True,getpixel_True,25644,19654,5990
69,69,509\r\n',Qt5,rects,Qt5_rects,True,2,getpixel,True,getpixel_True,25593,19778,5815
70,70,509\r\n',Qt5,rects,Qt5_rects,True,2,getpixel,True,getpixel_True,24669,21196,3473
71,71,509\r\n',Qt5,rects,Qt5_rects,True,2,getpixel,True,getpixel_True,25603,19538,6065
72,72,509\r\n',Qt5,rects,Qt5_rects,True,2,getpixel,True,getpixel_True,24625,18610,6015
73,73,509\r\n',Qt5,rects,Qt5_rects,True,2,getpixel,True,getpixel_True,24580,20996,3584
74,74,509\r\n',Qt5,rects,Qt5_rects,True,2,getpixel,True,getpixel_True,25643,19546,6097
75,75,509\r\n',Qt5,rects,Qt5_rects,True,2,getpixel,True,getpixel_True,26617,20320,6297
76,76,509\r\n',Qt5,rects,Qt5_rects,True,2,getpixel,True,getpixel_True,25602,19610,5992
77,77,509\r\n',Qt5,rects,Qt5_rects,True,2,getpixel,True,getpixel_True,25635,22124,3511
78,78,509\r\n',Qt5,rects,Qt5_rects,True,2,getpixel,True,getpixel_True,25644,19141,6503
79,79,509\r\n',Qt5,rects,Qt5_rects,True,2,getpixel,True,getpixel_True,24587,20905,3682
80,80,509\r\n',Qt5,rects,Qt5_rects,True,2,getpixel,True,getpixel_True,24670,21301,3369
81,81,509\r\n',Qt5,rects,Qt5_rects,True,2,getpixel,True,getpixel_True,25602,19833,5769
82,82,509\r\n',Qt5,rects,Qt5_rects,True,2,getpixel,True,getpixel_True,24630,21121,3509
83,83,509\r\n',Qt5,rects,Qt5_rects,True,2,getpixel,True,getpixel_True,24624,18565,6059
84,84,509\r\n',Qt5,rects,Qt5_rects,True,2,getpixel,True,getpixel_True,25603,19902,5701
85,85,509\r\n',Qt5,rects,Qt5_rects,True,2,getpixel,True,getpixel_True,25641,19492,6149
86,86,509\r\n',Qt5,rects,Qt5_rects,True,2,getpixel,True,getpixel_True,24580,21145,3435
87,87,509\r\n',Qt5,rects,Qt5_rects,True,2,getpixel,True,getpixel_True,25645,19953,5692
88,88,509\r\n',Qt5,rects,Qt5_rects,True,2,getpixel,True,getpixel_True,24626,18637,5989
89,89,509\r\n',Qt5,rects,Qt5_rects,True,2,getpixel,True,getpixel_True,24632,21062,3570
90,90,509\r\n',Qt5,rects,Qt5_rects,True,2,getpixel,True,getpixel_True,25602,19872,5730
91,91,509\r\n',Qt5,rects,Qt5_rects,True,2,getpixel,True,getpixel_True,25639,19908,5731
92,92,509\r\n',Qt5,rects,Qt5_rects,True,2,getpixel,True,getpixel_True,23616,17660,5956
93,93,509\r\n',Qt5,rects,Qt5_rects,True,2,getpixel,True,getpixel_True,25180,19198,5982
94,94,509\r\n',Qt5,rects,Qt5_rects,True,2,getpixel,True,getpixel_True,24589,18598,5991
95,95,509\r\n',Qt5,rects,Qt5_rects,True,2,getpixel,True,getpixel_True,26652,20960,5692
96,96,509\r\n',Qt5,rects,Qt5_rects,True,2,getpixel,True,getpixel_True,25597,19597,6000
97,97,509\r\n',Qt5,rects,Qt5_rects,True,2,getpixel,True,getpixel_True,25635,19624,6011
98,98,509\r\n',Qt5,rects,Qt5_rects,True,2,getpixel,True,getpixel_True,25642,19860,5782
99,99,509\r\n',Qt5,rects,Qt5_rects,True,2,getpixel,True,getpixel_True,24586,18532,6054
