,id,framework,complexity,program,ete,fw,diff
0,0,pyglet,rects,bitblt_fw_True,30592,26930,3662
1,1,pyglet,rects,bitblt_fw_True,31248,44465,-13217
2,2,pyglet,rects,bitblt_fw_True,39312,52483,-13171
3,3,pyglet,rects,bitblt_fw_True,45476,43408,2068
4,4,pyglet,rects,bitblt_fw_True,34608,31914,2694
5,5,pyglet,rects,bitblt_fw_True,26660,39652,-12992
6,6,pyglet,rects,bitblt_fw_True,34636,39652,-5016
7,7,pyglet,rects,bitblt_fw_True,24660,39652,-14992
8,8,pyglet,rects,bitblt_fw_True,28900,25931,2969
9,9,pyglet,rects,bitblt_fw_True,30708,25931,4777
10,10,pyglet,rects,bitblt_fw_True,30592,27927,2665
11,11,pyglet,rects,bitblt_fw_True,36308,27927,8381
12,12,pyglet,rects,bitblt_fw_True,22396,27927,-5531
13,13,pyglet,rects,bitblt_fw_True,39088,27927,11161
14,14,pyglet,rects,bitblt_fw_True,29136,27927,1209
15,15,pyglet,rects,bitblt_fw_True,31264,27927,3337
16,16,pyglet,rects,bitblt_fw_True,45964,58127,-12163
17,17,pyglet,rects,bitblt_fw_True,34612,58127,-23515
18,18,pyglet,rects,bitblt_fw_True,36292,58127,-21835
19,19,pyglet,rects,bitblt_fw_True,28000,58127,-30127
20,20,pyglet,rects,bitblt_fw_True,27796,58127,-30331
21,21,pyglet,rects,bitblt_fw_True,27896,58127,-30231
22,22,pyglet,rects,bitblt_fw_True,25088,20943,4145
23,23,pyglet,rects,bitblt_fw_True,38524,20943,17581
24,24,pyglet,rects,bitblt_fw_True,45700,20943,24757
25,25,pyglet,rects,bitblt_fw_True,41888,20943,20945
26,26,pyglet,rects,bitblt_fw_True,37880,20943,16937
27,27,pyglet,rects,bitblt_fw_True,38440,20943,17497
28,28,pyglet,rects,bitblt_fw_True,28008,20943,7065
29,29,pyglet,rects,bitblt_fw_True,27104,25485,1619
30,30,pyglet,rects,bitblt_fw_True,22528,25485,-2957
31,31,pyglet,rects,bitblt_fw_True,29236,25485,3751
32,32,pyglet,rects,bitblt_fw_True,35064,31915,3149
33,33,pyglet,rects,bitblt_fw_True,35056,12965,22091
34,34,pyglet,rects,bitblt_fw_True,46964,12965,33999
35,35,pyglet,rects,bitblt_fw_True,29808,24847,4961
36,36,pyglet,rects,bitblt_fw_True,24416,24847,-431
37,37,pyglet,rects,bitblt_fw_True,23316,24847,-1531
38,38,pyglet,rects,bitblt_fw_True,30572,26968,3604
39,39,pyglet,rects,bitblt_fw_True,29680,42886,-13206
40,40,pyglet,rects,bitblt_fw_True,41104,39970,1134
41,41,pyglet,rects,bitblt_fw_True,28680,39970,-11290
42,42,pyglet,rects,bitblt_fw_True,31720,39970,-8250
43,43,pyglet,rects,bitblt_fw_True,37852,39970,-2118
44,44,pyglet,rects,bitblt_fw_True,33384,27944,5440
45,45,pyglet,rects,bitblt_fw_True,32500,27944,4556
46,46,pyglet,rects,bitblt_fw_True,34720,27944,6776
47,47,pyglet,rects,bitblt_fw_True,49760,27944,21816
48,48,pyglet,rects,bitblt_fw_True,27008,27944,-936
49,49,pyglet,rects,bitblt_fw_True,43900,27944,15956
50,50,pyglet,rects,bitblt_fw_True,34608,27944,6664
51,51,pyglet,rects,bitblt_fw_True,33624,27944,5680
52,52,pyglet,rects,bitblt_fw_True,38784,27944,10840
53,53,pyglet,rects,bitblt_fw_True,28816,27944,872
54,54,pyglet,rects,bitblt_fw_True,38756,49421,-10665
55,55,pyglet,rects,bitblt_fw_True,31020,49421,-18401
56,56,pyglet,rects,bitblt_fw_True,35080,49421,-14341
57,57,pyglet,rects,bitblt_fw_True,28808,49421,-20613
58,58,pyglet,rects,bitblt_fw_True,44912,49421,-4509
59,59,pyglet,rects,bitblt_fw_True,47840,49421,-1581
60,60,pyglet,rects,bitblt_fw_True,21732,49421,-27689
61,61,pyglet,rects,bitblt_fw_True,25652,49421,-23769
62,62,pyglet,rects,bitblt_fw_True,24764,49421,-24657
63,63,pyglet,rects,bitblt_fw_True,43716,49421,-5705
64,64,pyglet,rects,bitblt_fw_True,41700,49421,-7721
65,65,pyglet,rects,bitblt_fw_True,36852,47461,-10609
66,66,pyglet,rects,bitblt_fw_True,48388,47461,927
67,67,pyglet,rects,bitblt_fw_True,35172,47461,-12289
68,68,pyglet,rects,bitblt_fw_True,27556,47461,-19905
69,69,pyglet,rects,bitblt_fw_True,44948,38897,6051
70,70,pyglet,rects,bitblt_fw_True,37428,38897,-1469
71,71,pyglet,rects,bitblt_fw_True,40796,38897,1899
72,72,pyglet,rects,bitblt_fw_True,43480,56364,-12884
73,73,pyglet,rects,bitblt_fw_True,39092,56364,-17272
74,74,pyglet,rects,bitblt_fw_True,24304,56364,-32060
75,75,pyglet,rects,bitblt_fw_True,38868,56364,-17496
76,76,pyglet,rects,bitblt_fw_True,34616,56364,-21748
77,77,pyglet,rects,bitblt_fw_True,36636,56364,-19728
78,78,pyglet,rects,bitblt_fw_True,38560,35429,3131
79,79,pyglet,rects,bitblt_fw_True,29900,35429,-5529
80,80,pyglet,rects,bitblt_fw_True,36968,32912,4056
81,81,pyglet,rects,bitblt_fw_True,46516,32912,13604
82,82,pyglet,rects,bitblt_fw_True,38664,34907,3757
83,83,pyglet,rects,bitblt_fw_True,30936,34907,-3971
84,84,pyglet,rects,bitblt_fw_True,34180,34907,-727
85,85,pyglet,rects,bitblt_fw_True,39092,34907,4185
86,86,pyglet,rects,bitblt_fw_True,33600,34907,-1307
87,87,pyglet,rects,bitblt_fw_True,38216,34907,3309
88,88,pyglet,rects,bitblt_fw_True,35528,29959,5569
89,89,pyglet,rects,bitblt_fw_True,38308,29959,8349
90,90,pyglet,rects,bitblt_fw_True,23636,29959,-6323
91,91,pyglet,rects,bitblt_fw_True,46820,42398,4422
92,92,pyglet,rects,bitblt_fw_True,41132,42398,-1266
93,93,pyglet,rects,bitblt_fw_True,38664,35421,3243
94,94,pyglet,rects,bitblt_fw_True,40128,35421,4707
95,95,pyglet,rects,bitblt_fw_True,29028,24932,4096
96,96,pyglet,rects,bitblt_fw_True,25988,24932,1056
97,97,pyglet,rects,bitblt_fw_True,34500,24932,9568
98,98,pyglet,rects,bitblt_fw_True,22640,24932,-2292
99,99,pyglet,rects,bitblt_fw_True,38096,24932,13164
