,id,framework,complexity,program,ete,fw,diff
0,0,pyglet,default,getdbits_fw_True,30916,0,30916
1,1,pyglet,default,getdbits_fw_True,33604,0,33604
2,2,pyglet,default,getdbits_fw_True,30700,41262,-10562
3,3,pyglet,default,getdbits_fw_True,46620,41262,5358
4,4,pyglet,default,getdbits_fw_True,42892,41262,1630
5,5,pyglet,default,getdbits_fw_True,34624,41262,-6638
6,6,pyglet,default,getdbits_fw_True,38332,41262,-2930
7,7,pyglet,default,getdbits_fw_True,48388,41262,7126
8,8,pyglet,default,getdbits_fw_True,26884,36902,-10018
9,9,pyglet,default,getdbits_fw_True,43804,36902,6902
10,10,pyglet,default,getdbits_fw_True,34408,36902,-2494
11,11,pyglet,default,getdbits_fw_True,23424,36902,-13478
12,12,pyglet,default,getdbits_fw_True,24656,36902,-12246
13,13,pyglet,default,getdbits_fw_True,29700,36902,-7202
14,14,pyglet,default,getdbits_fw_True,33612,36902,-3290
15,15,pyglet,default,getdbits_fw_True,32392,36902,-4510
16,16,pyglet,default,getdbits_fw_True,27444,38896,-11452
17,17,pyglet,default,getdbits_fw_True,42024,38896,3128
18,18,pyglet,default,getdbits_fw_True,31936,38896,-6960
19,19,pyglet,default,getdbits_fw_True,30928,23936,6992
20,20,pyglet,default,getdbits_fw_True,44476,23936,20540
21,21,pyglet,default,getdbits_fw_True,31244,23936,7308
22,22,pyglet,default,getdbits_fw_True,35756,23936,11820
23,23,pyglet,default,getdbits_fw_True,33940,27932,6008
24,24,pyglet,default,getdbits_fw_True,25996,53378,-27382
25,25,pyglet,default,getdbits_fw_True,34176,28923,5253
26,26,pyglet,default,getdbits_fw_True,35760,28923,6837
27,27,pyglet,default,getdbits_fw_True,23076,28923,-5847
28,28,pyglet,default,getdbits_fw_True,39088,28923,10165
29,29,pyglet,default,getdbits_fw_True,44264,28923,15341
30,30,pyglet,default,getdbits_fw_True,48740,42302,6438
31,31,pyglet,default,getdbits_fw_True,41336,42302,-966
32,32,pyglet,default,getdbits_fw_True,37432,42302,-4870
33,33,pyglet,default,getdbits_fw_True,36628,42302,-5674
34,34,pyglet,default,getdbits_fw_True,41020,42302,-1282
35,35,pyglet,default,getdbits_fw_True,35412,42302,-6890
36,36,pyglet,default,getdbits_fw_True,28000,42302,-14302
37,37,pyglet,default,getdbits_fw_True,33716,42886,-9170
38,38,pyglet,default,getdbits_fw_True,45384,42886,2498
39,39,pyglet,default,getdbits_fw_True,39648,42886,-3238
40,40,pyglet,default,getdbits_fw_True,37432,30917,6515
41,41,pyglet,default,getdbits_fw_True,33516,43884,-10368
42,42,pyglet,default,getdbits_fw_True,46260,40891,5369
43,43,pyglet,default,getdbits_fw_True,30604,40891,-10287
44,44,pyglet,default,getdbits_fw_True,30480,40891,-10411
45,45,pyglet,default,getdbits_fw_True,27324,40891,-13567
46,46,pyglet,default,getdbits_fw_True,39120,30912,8208
