,id,framework,complexity,program,ete,fw,diff
0,0,javaswing,default,getdbits_fw_True,52768,0,52768
1,1,javaswing,default,getdbits_fw_True,47628,0,47628
2,2,javaswing,default,getdbits_fw_True,47176,24934,22242
3,3,javaswing,default,getdbits_fw_True,55356,34421,20935
4,4,javaswing,default,getdbits_fw_True,54436,34421,20015
5,5,javaswing,default,getdbits_fw_True,56028,16620,39408
6,6,javaswing,default,getdbits_fw_True,46064,16620,29444
7,7,javaswing,default,getdbits_fw_True,47832,16620,31212
8,8,javaswing,default,getdbits_fw_True,55136,16620,38516
9,9,javaswing,default,getdbits_fw_True,50520,16620,33900
10,10,javaswing,default,getdbits_fw_True,51104,16620,34484
11,11,javaswing,default,getdbits_fw_True,52196,29775,22421
12,12,javaswing,default,getdbits_fw_True,47152,29775,17377
13,13,javaswing,default,getdbits_fw_True,58236,29775,28461
14,14,javaswing,default,getdbits_fw_True,49400,7980,41420
15,15,javaswing,default,getdbits_fw_True,53204,11969,41235
16,16,javaswing,default,getdbits_fw_True,56704,11969,44735
17,17,javaswing,default,getdbits_fw_True,54212,11969,42243
18,18,javaswing,default,getdbits_fw_True,49080,11969,37111
19,19,javaswing,default,getdbits_fw_True,50652,11969,38683
20,20,javaswing,default,getdbits_fw_True,46732,11969,34763
21,21,javaswing,default,getdbits_fw_True,274268,11969,262299
22,22,javaswing,default,getdbits_fw_True,47288,11969,35319
23,23,javaswing,default,getdbits_fw_True,45360,11969,33391
24,24,javaswing,default,getdbits_fw_True,50988,11969,39019
25,25,javaswing,default,getdbits_fw_True,57460,11969,45491
26,26,javaswing,default,getdbits_fw_True,49504,11969,37535
27,27,javaswing,default,getdbits_fw_True,58372,17363,41009
28,28,javaswing,default,getdbits_fw_True,58576,17953,40623
29,29,javaswing,default,getdbits_fw_True,46040,17953,28087
30,30,javaswing,default,getdbits_fw_True,45728,17953,27775
31,31,javaswing,default,getdbits_fw_True,51780,17953,33827
32,32,javaswing,default,getdbits_fw_True,59072,36906,22166
33,33,javaswing,default,getdbits_fw_True,53008,36906,16102
