,id,framework,complexity,program,ete,fw,diff
0,0,javaswing,default,getdbits_fw_False,47828,0,47828
1,1,javaswing,default,getdbits_fw_False,63320,0,63320
2,2,javaswing,default,getdbits_fw_False,53876,0,53876
3,3,javaswing,default,getdbits_fw_False,54464,0,54464
4,4,javaswing,default,getdbits_fw_False,64084,0,64084
5,5,javaswing,default,getdbits_fw_False,51876,0,51876
6,6,javaswing,default,getdbits_fw_False,51748,0,51748
7,7,javaswing,default,getdbits_fw_False,62608,0,62608
8,8,javaswing,default,getdbits_fw_False,59068,0,59068
9,9,javaswing,default,getdbits_fw_False,58272,0,58272
10,10,javaswing,default,getdbits_fw_False,60384,0,60384
11,11,javaswing,default,getdbits_fw_False,49752,0,49752
12,12,javaswing,default,getdbits_fw_False,57708,0,57708
13,13,javaswing,default,getdbits_fw_False,61284,0,61284
14,14,javaswing,default,getdbits_fw_False,59924,0,59924
15,15,javaswing,default,getdbits_fw_False,29024,0,29024
16,16,javaswing,default,getdbits_fw_False,52196,0,52196
17,17,javaswing,default,getdbits_fw_False,56488,0,56488
18,18,javaswing,default,getdbits_fw_False,64176,0,64176
19,19,javaswing,default,getdbits_fw_False,59808,0,59808
20,20,javaswing,default,getdbits_fw_False,62756,0,62756
21,21,javaswing,default,getdbits_fw_False,63324,0,63324
22,22,javaswing,default,getdbits_fw_False,57040,0,57040
23,23,javaswing,default,getdbits_fw_False,54100,0,54100
24,24,javaswing,default,getdbits_fw_False,64080,0,64080
25,25,javaswing,default,getdbits_fw_False,54540,0,54540
26,26,javaswing,default,getdbits_fw_False,58392,0,58392
27,27,javaswing,default,getdbits_fw_False,44268,0,44268
28,28,javaswing,default,getdbits_fw_False,49280,0,49280
29,29,javaswing,default,getdbits_fw_False,47608,0,47608
30,30,javaswing,default,getdbits_fw_False,46732,0,46732
31,31,javaswing,default,getdbits_fw_False,47852,0,47852
32,32,javaswing,default,getdbits_fw_False,55920,0,55920
33,33,javaswing,default,getdbits_fw_False,48520,0,48520
34,34,javaswing,default,getdbits_fw_False,53116,0,53116
35,35,javaswing,default,getdbits_fw_False,42144,0,42144
36,36,javaswing,default,getdbits_fw_False,54580,0,54580
37,37,javaswing,default,getdbits_fw_False,58916,0,58916
38,38,javaswing,default,getdbits_fw_False,55444,0,55444
39,39,javaswing,default,getdbits_fw_False,51884,0,51884
40,40,javaswing,default,getdbits_fw_False,59496,0,59496
41,41,javaswing,default,getdbits_fw_False,49640,0,49640
42,42,javaswing,default,getdbits_fw_False,59056,0,59056
43,43,javaswing,default,getdbits_fw_False,42340,0,42340
44,44,javaswing,default,getdbits_fw_False,46064,0,46064
45,45,javaswing,default,getdbits_fw_False,57044,0,57044
46,46,javaswing,default,getdbits_fw_False,48524,0,48524
47,47,javaswing,default,getdbits_fw_False,62160,0,62160
48,48,javaswing,default,getdbits_fw_False,54668,0,54668
49,49,javaswing,default,getdbits_fw_False,40792,0,40792
50,50,javaswing,default,getdbits_fw_False,50656,0,50656
51,51,javaswing,default,getdbits_fw_False,54772,0,54772
52,52,javaswing,default,getdbits_fw_False,45140,0,45140
53,53,javaswing,default,getdbits_fw_False,57488,0,57488
54,54,javaswing,default,getdbits_fw_False,50884,0,50884
55,55,javaswing,default,getdbits_fw_False,52336,0,52336
56,56,javaswing,default,getdbits_fw_False,60036,0,60036
57,57,javaswing,default,getdbits_fw_False,49084,0,49084
58,58,javaswing,default,getdbits_fw_False,57792,0,57792
59,59,javaswing,default,getdbits_fw_False,55020,0,55020
60,60,javaswing,default,getdbits_fw_False,52116,0,52116
61,61,javaswing,default,getdbits_fw_False,59508,0,59508
62,62,javaswing,default,getdbits_fw_False,62832,0,62832
63,63,javaswing,default,getdbits_fw_False,58236,0,58236
64,64,javaswing,default,getdbits_fw_False,63392,0,63392
65,65,javaswing,default,getdbits_fw_False,55700,0,55700
66,66,javaswing,default,getdbits_fw_False,63208,0,63208
67,67,javaswing,default,getdbits_fw_False,49728,0,49728
68,68,javaswing,default,getdbits_fw_False,61936,0,61936
69,69,javaswing,default,getdbits_fw_False,55576,0,55576
70,70,javaswing,default,getdbits_fw_False,51332,0,51332
